,PC1,PC2,PC3
hurs(1),-0.10624688792620218,0.2025080428234178,-0.1513671938062275
hur0(1),-0.08646528892310108,0.21124534341902013,-0.1683856643116307
hur3(1),-0.02368809245093125,0.28296802793772946,-0.06184809318450202
hur4(1),0.01443480532366631,0.2773763544092878,-0.09176220754213427
hur5(1),-0.09277105803590378,0.23409562284317303,-0.029077041535905374
hur6(1),-0.11370322043259576,0.19307030074990436,0.012551562979792489
hur7(1),-0.08626369162685124,0.15326381646078996,0.05386398491146853
clwvi(1),-0.0029459018788481005,0.2918623243597262,-0.1418999312720048
pr(1),-0.013825514459343723,0.27735275718343594,-0.06392370409190101
psl(1),-0.14533132279680255,0.0057382236011118155,-0.14476869534088316
vas(1),-0.11480879684776989,0.05276436833648004,0.17979677802519517
va0(1),-0.09817325630861322,0.09506433058226059,0.13430081142195355
va3(1),0.10332791768217228,0.09150013318295766,0.18558001366940582
va4(1),0.12037997795714606,0.07139749391390166,0.21145542517896349
va5(1),0.10955031185585584,0.0873247749821073,0.2399747366976412
va6(1),0.08524164165924873,0.10677478830127096,0.26962644304693295
va7(1),0.06482309697793173,0.10563832730817196,0.27654663156846
uas(1),-0.13606329318181082,-0.009826936951222916,0.16435415019571847
ua0(1),-0.13650384381353986,-0.028311680469082955,0.15480067652417026
ua3(1),-0.13330876411070058,0.007658509538473322,0.18100843850301063
ua4(1),-0.10946260098814914,0.00947008481173038,0.2027836632501258
ua5(1),-0.08338682364528198,-0.02883995924282485,0.23075240466014693
ua6(1),-0.052404663812449286,-0.06571779047471904,0.2294338514997487
ua7(1),-0.018917225749996176,-0.07572776552200856,0.19027450483953304
zg0(1),-0.14303899510427287,0.003169616371731879,-0.14722867355320995
zg1(1),-0.09850339249548862,-0.018046360737647215,-0.1953364405470696
zg2(1),0.03359606910322125,-0.05296502580280388,-0.20451459337677388
zg3(1),0.15688367993308228,-0.053827162422023775,-0.06405890867002662
zg4(1),0.1657082166568397,-0.049094894395122775,-0.03924156618237538
zg5(1),0.16832718493040605,-0.04832082643598085,-0.027363438265513206
zg6(1),0.16941840493292562,-0.05098433920899631,-0.020280715573776493
zg7(1),0.1699335515502012,-0.05678917955288295,-0.01754913396764415
tas(1),0.16689137028889836,-0.043877017512278994,0.008369034840436272
tasmax(1),0.16679258181575538,-0.08317018536975705,0.03066702897947872
tasmin(1),0.16052513783550715,-0.0024172490087060487,-0.019558154453782457
ts(1),0.1666528506372309,-0.0440994968640279,0.010251365203600933
ta0(1),0.1712383729605304,-0.03769283548024679,0.04618537584965658
ta1(1),0.17119101521269892,-0.03788250020905512,0.04647194046574178
ta2(1),0.17157787491241563,-0.03828589030531943,0.043841957369309806
ta3(1),0.1732080132704749,-0.04212759881874375,0.015163385801735662
ta4(1),0.17212557153390753,-0.0423444627636517,0.006721131202884448
ta5(1),0.1703970852757373,-0.05290526321929015,0.0029096267543648005
ta6(1),0.16872233057269476,-0.06476844977389241,-0.0015783494496921112
ta7(1),0.1610916366796558,-0.07696767838740204,-0.02029266199853801
huss(1),0.15578202172649797,0.070855395392819,-0.09014716158915492
hus0(1),0.15667775395709257,0.06623759442513345,-0.0958732417794504
hus3(1),0.16297874514890975,0.07501223952365993,-0.03507769499667654
hus4(1),0.1581343244248668,0.07858227522781504,-0.05730179174666089
hus5(1),0.13342000119289504,0.13727397522140583,-0.03988456367496619
hus6(1),0.10973382941884315,0.1499695978112621,0.007550776802320901
hus7(1),0.08819285356027187,0.08887773526479541,0.05144681802508867
wap0(1),-0.10666437125402198,-0.08084151797659822,0.06739632945837344
wap3(1),-0.12653100039769516,-0.06738274139229401,-0.011813829441849806
wap4(1),-0.10481553498894249,-0.1518102262999809,-0.05210700715876136
wap5(1),-0.07943466401074845,-0.21492433087907462,-0.10134403356279195
wap6(1),-0.05980741833261061,-0.2501226810295709,-0.14492200037811992
wap7(1),-0.022756738773420295,-0.23984335802079643,-0.2064858509070933
rsds(1),0.13269651112255676,-0.09250104492137065,0.11840044672486015
prw(1),0.15278727908347842,0.06262891290030646,-0.09192051750207705
rlds(1),0.1597938256098034,0.07760411846644191,-0.07133253281617614
evspsbl(1),0.0960000188589593,0.17613513252373064,-0.017573974606834766
hfls(1),0.0954408107303101,0.1767263084701082,-0.017427052925850145
rsus(1),-0.022712687019977806,-0.1031259615690227,0.11842404847491976
ps(1),-0.0019456640445136568,-0.042371316895165385,-0.131773304663833
